timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount
20151208T0000,40.91095,52.610954,45.89545,0,0
20151209T0000,40.44295,48.63295,45.497204,4.2999997,0
20151210T0000,34.39495,47.46295,39.64795,0,0
20151211T0000,35.52895,49.40695,41.937702,0,0
20151212T0000,36.33895,51.72895,44.110447,0,0
20151213T0000,36.878952,47.76895,42.526447,0,0
20151214T0000,37.83295,50.918953,42.605953,0,0
20151215T0000,39.056953,51.31495,45.3682,0,0
20151216T0000,46.364952,60.00895,53.161453,5.2,0
20151217T0000,47.04895,59.18095,52.313953,0,0
20151218T0000,46.418953,55.86895,49.914703,0,0
20151219T0000,44.04295,55.634953,48.907455,0,0
20151220T0000,41.18095,54.41095,47.926453,0,0
20151221T0000,43.26895,55.724953,50.150204,0.2,0
20151222T0000,41.88295,54.12295,47.4007,0,0
20151223T0000,44.42095,56.012955,49.344696,0,0
20151224T0000,42.00895,57.20095,49.730953,0,0
20151225T0000,44.33095,54.33895,49.319202,0,0
20151226T0000,40.60495,53.780952,46.66496,0,0
20151227T0000,40.154953,53.024952,45.389194,0,0
20151228T0000,34.03495,52.070953,42.4762,0,0
20151229T0000,37.52695,49.80295,44.635452,0,0
20151230T0000,35.54695,50.162952,44.11795,0,0
20151231T0000,34.808952,52.322952,44.95195,0.4,0
20160101T0000,41.84695,47.48095,44.189953,0,0
20160102T0000,38.912952,46.67095,42.5047,8.1,0
20160103T0000,39.59695,49.47895,43.96645,0.3,0
20160104T0000,39.056953,47.17495,43.7767,2.8999999,0
20160105T0000,37.18495,47.750954,42.599953,5.3999996,0
20160106T0000,36.23095,48.002953,42.0832,0.8,0
20160107T0000,35.52895,49.80295,41.672955,7.6,0
20160108T0000,39.38095,51.78295,44.521454,4.1,0
20160109T0000,42.65695,53.92495,47.253704,7.7000003,0
20160110T0000,44.15095,49.766953,46.825443,0.8,0
20160111T0000,40.982952,49.06495,44.462204,12.799999,0
20160112T0000,38.31895,45.37495,41.9422,1,0
20160113T0000,32.32495,40.29895,37.298954,0.4,0.28
20160114T0000,29.030952,41.01895,34.41145,2.6,0.63
20160115T0000,31.94695,39.236954,34.821705,0.8,0.56
20160116T0000,30.542952,37.95895,34.1962,0.5,0.35000002
20160117T0000,25.808952,35.76295,31.408453,1.4,0.97999996
20160118T0000,23.198952,35.27695,29.2762,0,0
20160119T0000,31.65895,42.72895,36.69895,1.4000001,0.98
20160120T0000,33.224953,39.11095,36.577454,0.1,0
20160121T0000,30.002953,40.04695,33.565456,0,0
20160122T0000,28.652952,42.530952,35.3602,1.2,0
20160123T0000,36.878952,48.488953,43.60645,2.7999997,0
20160124T0000,32.702953,50.63095,41.604702,0,0
20160125T0000,40.26295,53.97895,46.783447,0,0
20160126T0000,42.90895,54.89695,48.138706,0,0
20160127T0000,42.47695,57.20095,50.7112,0,0
20160128T0000,47.750954,55.81495,51.466457,3.1000001,0
20160129T0000,43.718952,50.774952,46.934204,0.8,0
20160130T0000,39.92095,54.06895,46.70546,1.3000001,0
20160131T0000,42.47695,54.176952,48.720703,9.500001,0
20160201T0000,49.78495,56.19295,52.701706,0,0
20160202T0000,48.20095,56.570953,51.810703,0,0
20160203T0000,37.13095,50.180954,41.360203,3.5000002,0
20160204T0000,36.68095,43.95295,40.01695,0.5,0
20160205T0000,39.488953,54.55495,47.204956,0.1,0
20160206T0000,33.260952,59.360954,44.0947,0,0
20160207T0000,33.65695,45.086952,39.761204,5.7,0
20160208T0000,37.09495,54.33895,45.788197,0,0
20160209T0000,39.45295,53.09695,47.582203,3,0
20160210T0000,33.530952,43.16095,37.40995,0,0
20160211T0000,32.45095,44.79895,38.5282,0,0
20160212T0000,32.72095,45.932953,39.415455,2.6,0.14
20160213T0000,36.446953,49.676952,43.39795,2.2,0
20160214T0000,41.072952,47.120953,43.016193,2.6999998,0
20160215T0000,34.53895,40.946953,38.25145,4.4,0
20160216T0000,33.38695,45.932953,38.5507,0,0
20160217T0000,29.624952,42.94495,36.067448,0,0
20160218T0000,33.42295,51.02695,40.634953,0,0
20160219T0000,34.82695,43.26895,39.869198,3.3000002,0
20160220T0000,34.61095,50.162952,42.389954,0.1,0
20160221T0000,50.612953,58.190952,53.30621,0.4,0
20160222T0000,47.67895,59.39695,52.781204,0,0
20160223T0000,37.814953,52.08895,45.8512,6,0
20160224T0000,31.082952,47.732952,38.8702,2.2,0
20160225T0000,34.376953,41.90095,37.90945,5.5000005,1.19
20160226T0000,31.352951,46.00495,37.7752,0,0
20160227T0000,33.67495,51.944954,40.472202,0,0
20160228T0000,31.586952,49.010952,39.7042,0,0
20160229T0000,33.29695,39.47095,36.65995,15.500001,1.12
20160301T0000,32.63095,45.77095,38.656452,1.6,0.35000002
20160302T0000,37.364952,50.19895,44.0632,5.6,0
20160303T0000,33.56695,41.63095,38.411198,3.8,0
20160304T0000,31.730951,47.012955,39.94045,2,0
20160305T0000,34.73695,45.73495,41.295704,1.3,0
20160306T0000,31.586952,41.45095,36.835453,4.6999993,3.1499999
20160307T0000,32.18095,44.31295,38.274704,1.4,0.98
20160308T0000,32.522953,42.02695,37.276455,0.4,0.28
20160309T0000,30.182951,48.578953,38.95195,0,0
20160310T0000,34.196953,52.610954,41.2747,0,0
20160311T0000,33.33295,52.52095,41.012203,0,0
20160312T0000,31.604952,51.332954,41.085697,0.1,0
20160313T0000,38.01295,52.12495,44.57845,0,0
20160314T0000,36.71695,53.204952,43.330456,0,0
20160315T0000,30.254951,49.78495,37.816456,4.2,1.3299999
20160316T0000,33.098953,53.510952,41.738194,0,0
20160317T0000,31.982952,51.99895,41.771954,0,0
20160318T0000,36.752953,57.02095,46.788696,0,0
20160319T0000,39.56095,54.53695,46.362698,0,0
20160320T0000,38.516953,52.988953,43.850204,0,0
20160321T0000,37.83295,52.502953,43.872696,0.2,0
20160322T0000,34.75495,54.23095,43.727203,0,0
20160323T0000,31.676952,50.03695,41.559704,0.1,0
20160324T0000,35.654953,52.75495,44.2672,0,0
20160325T0000,43.55695,50.10895,46.955948,2,0
20160326T0000,43.718952,62.24095,51.152195,0,0
20160327T0000,39.45295,54.500954,48.9397,1.4000001,0
20160328T0000,36.51895,57.14695,48.55045,0,0
20160329T0000,44.33095,58.190952,51.20245,3.7999997,0
20160330T0000,49.06495,64.13095,56.228195,2.3999999,0
20160331T0000,41.18095,73.36495,58.1347,0,0
20160401T0000,46.364952,55.25695,50.193695,1.1,0
20160402T0000,42.60295,69.63895,55.963444,0,0
20160403T0000,52.016953,69.47695,61.290695,0,0
20160404T0000,53.43895,64.16695,58.7677,0,0
20160405T0000,50.126953,59.64895,54.755955,6.6000004,0
20160406T0000,47.46295,59.84695,53.203445,3,0
20160407T0000,43.34095,51.404953,47.056454,0.2,0
20160408T0000,41.48695,52.26895,46.654453,0.2,0
20160409T0000,43.10695,54.12295,49.583954,0.4,0
20160410T0000,42.33295,62.402954,52.388958,0,0
20160411T0000,42.36895,65.46295,54.660706,0,0
20160412T0000,48.14695,66.650955,57.227203,1.1,0
20160413T0000,48.14695,57.25495,52.96345,2.6,0
20160414T0000,45.626953,61.28695,52.978455,0.2,0
20160415T0000,46.34695,60.78295,53.899456,4.9,0
20160416T0000,50.306953,64.094955,56.943695,5.2,0
20160417T0000,42.890953,58.71295,50.66695,3.4,0
20160418T0000,42.96295,49.74895,45.7312,6.5,0
20160419T0000,40.280952,59.558952,49.1497,0,0
20160420T0000,38.912952,66.09296,52.694202,0,0
20160421T0000,39.704952,69.24295,56.21545,0,0
20160422T0000,52.35895,63.48295,58.691208,0.2,0
20160423T0000,42.67495,58.04695,51.0607,9.2,0
20160424T0000,33.54895,49.334953,41.53795,3.4999998,0
20160425T0000,30.920952,49.892952,41.52595,0.9,0.14
20160426T0000,38.22895,46.02295,42.945705,6.5000005,0
20160427T0000,34.412952,46.544952,40.1872,0.2,0
20160428T0000,36.266953,53.204952,45.41395,0,0
20160429T0000,40.154953,58.820953,50.5732,0,0
20160430T0000,42.00895,62.834953,51.66295,8.199999,0
20160501T0000,40.766953,54.33895,46.69045,14.3,0
20160502T0000,43.77295,62.690952,53.6662,0,0
20160503T0000,45.80695,59.27095,53.651947,1.7,0
20160504T0000,39.38095,60.36895,50.946705,0,0
20160505T0000,36.21295,67.35295,53.90771,0,0
20160506T0000,47.62495,72.82495,60.768707,0,0
20160507T0000,52.484955,73.00495,62.840954,0,0
20160508T0000,47.58895,74.13895,61.2892,0,0
20160509T0000,49.56895,72.91495,62.123203,0,0
20160510T0000,56.76895,72.28495,64.37021,0.1,0
20160511T0000,51.890953,67.85695,58.913204,0.1,0
20160512T0000,53.94295,61.21495,56.309204,13.099999,0
20160513T0000,53.43895,60.00895,56.839447,15.700001,0
